nom,email,password,role,actif,date_creation,date_update
Admin Hôtel,admin@hotelgroup.com,$2b$10$ICijvsgKyM/E.nRwco0l1ePINHuhTL5Cc6L/8uIgt8TwKfs36b1qG,admin,True,2026-01-01 21:02:45.108,2026-01-01 21:02:45.108
Christiane Leclerc,christiane.leclerc@email.com,$2b$10$je795zodT.M74rbfcIp0ieQH46/yqFHLOtwQ/9cLhd8xhv09JAFxq,client,True,2026-01-01 21:02:45.245,2026-01-01 21:02:45.245
Philippe Antoine,philippe.antoine@email.com,$2b$10$tFRDY3WOIsklqgMex9RSu.nxGfSUkmxnFK1E1Z2MrTr4eu9mBPBc6,client,True,2026-01-01 21:02:45.338,2026-01-01 21:02:45.338
Luc Bernard,luc.bernard@email.com,$2b$10$1Toh0ObABmk4AdsSCHVgdeIyQRew0znsffdXejztxHuDsqYNfbCUO,client,True,2026-01-01 21:02:45.431,2026-01-01 21:02:45.431
Isabelle Girard,isabelle.girard@email.com,$2b$10$ejTJTemtOAIJ9rpTAhfuq.TFS0YDslQ/4V6Du.obXFFrTn3ih7yGG,client,True,2026-01-01 21:02:45.516,2026-01-01 21:02:45.516
Marie Lefevre,marie.lefevre@email.com,$2b$10$5sotbRloNTRt9vWdUqEMyu7LiejItOTEJanofHfZFL2RvlGnempQO,client,True,2026-01-01 21:02:45.596,2026-01-01 21:02:45.596
Francoise Dupont,francoise.dupont@email.com,$2b$10$322NX7gbTJFIU.PoIgI/MOZueqnKtdZwWK4NxpVlfFcswzl2KKWLe,client,True,2026-01-01 21:02:45.675,2026-01-01 21:02:45.675
Pierre Michel,pierre.michel@email.com,$2b$10$jkb6TKhgH8GiKh7GfUMt5urWAIzAnV0JCKqBhRLAZDeAeu4dbOxGy,client,True,2026-01-01 21:02:45.760,2026-01-01 21:02:45.760
Luc Laurent,luc.laurent@email.com,$2b$10$BM8vQ.6DKP.d2w9M7hABxexH45.7BRiiALp4c0zoNjRZnrdzQq/qi,client,True,2026-01-01 21:02:45.848,2026-01-01 21:02:45.848
Michel Laurent,michel.laurent@email.com,$2b$10$R7or2oN1Of2ZtT2l6mWsy.Nyf/1j0xt7//O5mFGe1yp/rFasj0hAu,client,True,2026-01-01 21:02:45.928,2026-01-01 21:02:45.928
Alain Thomas,alain.thomas@email.com,$2b$10$jTUc4JlGEd3OYC4EV.Op2OjJqoTmwHmdcHwh/jzMj1uBBKn/9zOUW,client,True,2026-01-01 21:02:46.011,2026-01-01 21:02:46.011
Luc Auger,luc.auger@email.com,$2b$10$/aRaRRFh6ENrf.WS4tWP6edWXXNVkkayT9gjAMFlK4m2ZAU2zQDUG,client,True,2026-01-01 21:02:46.089,2026-01-01 21:02:46.089
Anne Moreau,anne.moreau@email.com,$2b$10$tLRQ/hBmlVMs6E36jN.FU.w.rqY3wiSLE8UPWVTdyzI4noFFxjQXC,client,True,2026-01-01 21:02:46.172,2026-01-01 21:02:46.172
Philippe Martin,philippe.martin@email.com,$2b$10$OIqeWAGWYhCfrh/w.LZd5.4djDYUL98hffF/S3LK.VnZhH8bzpN5a,client,True,2026-01-01 21:02:46.254,2026-01-01 21:02:46.254
Philippe Leclerc,philippe.leclerc@email.com,$2b$10$ljMSly2xOWSVTBiepRJ4uunNPf2UdOwwF09nM50ttLJPIqOPhJmSK,client,False,2026-01-01 21:02:46.338,2026-01-01 21:02:46.338
Francoise Moreau,francoise.moreau@email.com,$2b$10$KfsYYYG54S85nW5K895DbOFHg5Bu8t2T6vfA7pYVX1D8DOvyUxdYK,client,True,2026-01-01 21:02:46.420,2026-01-01 21:02:46.420
Monique Garcia,monique.garcia@email.com,$2b$10$i1/ibD7oHZwNE3ojdjpNgeKxnx5z/pCWvtP.pfTdoFLA.1hBZaniq,client,True,2026-01-01 21:02:46.498,2026-01-01 21:02:46.498
Christiane Moreau,christiane.moreau@email.com,$2b$10$XJiQIPWM1azYTmiP58rCaezKUjlvWvZxrEipRlnsg.C3JEEdfoP2y,client,True,2026-01-01 21:02:46.594,2026-01-01 21:02:46.594
Michel Laurent,michel.laurent@email.com,$2b$10$D2gwL75.Yk5cn9w79l/4d.rjjuBP2dPC6Y4BjhXCjas.6S2PCd4LG,client,True,2026-01-01 21:02:46.676,2026-01-01 21:02:46.676
Jean Leclerc,jean.leclerc@email.com,$2b$10$G9akr90TZ.X/wLlK3LbMSOjbWilDz8LUy8ugnPBr.CsSD9UpclEji,client,True,2026-01-01 21:02:46.759,2026-01-01 21:02:46.759
Isabelle Auger,isabelle.auger@email.com,$2b$10$Raqkoiig2v9MAFbx26BgfekCk3ju0oAMiTk9GlQMrVLP3pf2KSITy,client,True,2026-01-01 21:02:46.838,2026-01-01 21:02:46.838
Luc Bernard,luc.bernard@email.com,$2b$10$I7dwirqSKo8TUcclHsqXUOV8vG17V.hlJ7mlVvjJAuq38pZNX.3B.,client,True,2026-01-01 21:02:46.916,2026-01-01 21:02:46.916
Philippe Thomas,philippe.thomas@email.com,$2b$10$WNfInruiZe5Xrzu3pAoE1.o3A/mGST76TSF0QJ.ovSA5NnSAqKJJy,client,True,2026-01-01 21:02:46.994,2026-01-01 21:02:46.994
Christiane Antoine,christiane.antoine@email.com,$2b$10$IaVPskHu9q4eHj5JtS1Dw.cWlYA78QoNrOLDMuBA2MJW4ydTEdO5m,client,True,2026-01-01 21:02:47.072,2026-01-01 21:02:47.072
Bernard Laurent,bernard.laurent@email.com,$2b$10$O3XJrO1yH0dbu6n90yLmleFw1Z7Wr/Aexh9HeFOY.wvYOME.KjSmK,client,True,2026-01-01 21:02:47.151,2026-01-01 21:02:47.151
Philippe Garcia,philippe.garcia@email.com,$2b$10$m1dDqnWanF3/NOnXpp1pRuOr.snio9WqVe9WQ5Mvso6910P7MEduK,client,True,2026-01-01 21:02:47.229,2026-01-01 21:02:47.229
Pierre Auger,pierre.auger@email.com,$2b$10$bVi9OLS5Nfou7fdU7wo3KeSpi43DoMr.sTnlnJcuxZE2/NBvgYpnu,client,True,2026-01-01 21:02:47.306,2026-01-01 21:02:47.306
Philippe Laurent,philippe.laurent@email.com,$2b$10$CwCcyRkGhj.PsgY/PBRg8.3tV9hirkAy3HtX7S3lF2JeBvZUshX5K,client,True,2026-01-01 21:02:47.385,2026-01-01 21:02:47.385
Bernard Simon,bernard.simon@email.com,$2b$10$/YC4iyCBH9v9Fs57bCb0XeqA78ZBP8RzbbNlr0vnuWQrlkn3H3IPG,client,True,2026-01-01 21:02:47.464,2026-01-01 21:02:47.464
Patrick Simon,patrick.simon@email.com,$2b$10$wSv0A.TR8LHikp6XKND.aenfB6nV6pQUi/Jngy0rHfSwTp.DueH7e,client,True,2026-01-01 21:02:47.542,2026-01-01 21:02:47.542
Jacques Arnould,jacques.arnould@email.com,$2b$10$ep7bVc2Hreyr88CNXDvdNO44HVnmHU55uiPki.eHgZpkTlCv/PxLi,client,True,2026-01-01 21:02:47.620,2026-01-01 21:02:47.620
Nathalie Auger,nathalie.auger@email.com,$2b$10$9FeJLZzlNyCYHqm9vXGJXuW5R25y7A3JUjQkNtEyfI/9B.4960icK,client,True,2026-01-01 21:02:47.702,2026-01-01 21:02:47.702
Charles Antoine,charles.antoine@email.com,$2b$10$lwhIkezALFrTGBDcbPWqfeRJbxq89TySAA4Z1rTdd7B6BWCr9RrSS,client,True,2026-01-01 21:02:47.784,2026-01-01 21:02:47.784
Michel Simon,michel.simon@email.com,$2b$10$JrOm5tAds5GwlBidKld.8ObAurIPzpm312EUuymuGxyTi50QonJ6u,client,False,2026-01-01 21:02:47.864,2026-01-01 21:02:47.864
Marie Thomas,marie.thomas@email.com,$2b$10$RQBgjkBGIZfWFoQye0UiUuvr1YvD0mFeiRrSSEPA./aQr2dtWXETO,client,False,2026-01-01 21:02:47.941,2026-01-01 21:02:47.941
Patrick Arnould,patrick.arnould@email.com,$2b$10$oCv/CIZ9w3Gwom8GBDreheV3qk4K.Bjqr/6yUruBC3cqAHqdbyZdO,client,True,2026-01-01 21:02:48.020,2026-01-01 21:02:48.020
